2026-05-13 07:04:32.012 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070431.csv] | [size_mb: 0.02]
2026-05-13 07:05:02.020 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:05:02.030 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:05:02.108 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070502.csv] | [size_mb: 0.02]
2026-05-13 07:05:32.115 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:05:32.125 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:05:32.202 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070532.csv] | [size_mb: 0.02]
2026-05-13 07:06:02.213 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:06:02.224 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:06:02.304 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070602.csv] | [size_mb: 0.02]
2026-05-13 07:06:32.311 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:06:32.322 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:06:32.404 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070632.csv] | [size_mb: 0.02]
2026-05-13 07:07:02.414 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:07:02.424 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:07:02.491 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070702.csv] | [size_mb: 0.02]
2026-05-13 07:07:32.499 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:07:32.508 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
